DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
1964-0102-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,,,,No,No,No,,,Km2,,,,1964,12,,1964,12,,400,,,,,,,,,,,9.887713291,,2003-07-01,2023-09-25
1966-0070-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Near Cambodia border,,,Yes,No,No,,,Km2,,,,1966,9,20,1966,9,20,31,,125541,70361,195902,,,,,10000,96644,10.34730224,,2003-07-01,2023-09-25
1970-0059-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,North,,,No,No,No,,,Km2,,,,1970,10,26,1970,10,26,237,,204000,,204000,,,,,,,12.37691039,,2003-07-01,2023-09-25
1978-0105-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Mekong Delta,,,No,No,No,,,Km2,,,,1978,8,,1978,8,,74,,4000000,79000,4079000,,,,,,,20.79554994,,2003-07-01,2023-09-25
1980-0106-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh provinces (include Quang Ngai)",,,No,No,No,,,Km2,,,,1980,11,,1980,11,,94,,628000,,628000,,,,,,,26.27072272,,2003-07-01,2023-09-25
1984-0090-VNM,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VNM,Viet Nam,South-eastern Asia,Asia,Central  (include Quang Ngai),,,No,No,No,,,Km2,,,,1984,10,,1984,10,,33,,38000,,38000,,,,,,,33.11667587,,2003-07-01,2023-09-25
1985-0106-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,No,No,No,,24680,Km2,,,,1985,9,7,1985,9,7,93,,2800000,,2800000,,,,,,,34.2908695,,2003-07-01,2023-09-25
1986-0139-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,Central  (include Quang Ngai),,,No,No,No,,,Km2,,,,1986,12,3,1986,12,3,165,,,,,,,,,,,34.94173347,,2003-07-01,2023-09-25
1990-0048-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"Son La, Hoang Lien Son, Ha Tuyen, Binh Dinh, Dac Lac, Lai Chau, Muong Lay provinces",Heavy rain,,No,No,No,,13950,Km2,,,,1990,6,20,1990,7,8,82,200,10000,,10200,,,,,725,1741,41.65219605,,2006-07-19,2023-09-25
1991-0229-VNM,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,VNM,Viet Nam,South-eastern Asia,Asia,"An Giang, Long An, Dong Thap, Kien Giang provinces",,,No,No,No,,1000,Km2,,,,1991,8,,1991,8,,21,,270000,600,270600,,,,,5000,11516,43.41615747,,2007-08-08,2023-09-25
